score,max_score,score_pct,bias,quality,alignment,bias_is_bull,bias_is_bear,price,sl,tp,rr,rr_is_above_2,dist_sl_pips,dist_tp_pips,dist_sl_pct,dist_tp_pct,range_sl_tp_pips,kj_h4,kj_d1,d_kj4,d_kj_d1,price_vs_kj_h4_pct,price_vs_kj_d1_pct,asian_high,asian_low,asian_range_pips,price_vs_ah_pct,price_vs_al_pct,price_in_asian_range,horizon_Intraday,horizon_Session,horizon_Swing,horizon_Position,bull_x_d_kj4,bear_x_d_kj4,outcome
58,109,0.53,1,1,4,1,0,1.144,1.142,1.148,2.0,1,20.0,40.0,1748.25,3496.5,60.0,1.1434,1.1429999999999998,0.0006,0.001,0.052,0.087,1.145,1.143,20.0,-0.087,0.087,1,0,1,0,0,0.0,0,1
35,109,0.32,-1,1,2,0,1,1.147,1.149,1.143,2.0,1,20.0,40.0,1743.68,3487.36,60.0,1.1476,1.1480000000000001,-0.0006,-0.001,-0.052,-0.087,1.145,1.1425,25.0,0.175,0.394,0,0,1,0,0,0,-0.0,0
72,109,0.66,1,2,5,1,0,1.146,1.144,1.15,2.0,1,20.0,40.0,1745.2,3490.4,60.0,1.1454,1.145,0.0006,0.001,0.052,0.087,1.147,1.143,40.0,-0.087,0.262,1,0,0,1,0,0.0,0,1
68,109,0.62,-1,2,4,0,1,1.042,1.044,1.038,2.0,1,20.0,40.0,1919.39,3838.77,60.0,1.0426,1.0430000000000001,-0.0006,-0.001,-0.058,-0.096,1.043,1.04,30.0,-0.096,0.192,1,0,1,0,0,0,-0.0,0
45,109,0.41,1,1,3,1,0,1.088,1.0865,1.091,2.0,1,15.0,30.0,1378.68,2757.35,45.0,1.08755,1.08725,0.00045,0.00075,0.041,0.069,1.089,1.0875,15.0,-0.092,0.046,1,1,0,0,0,0.0,0,1
22,109,0.2,-1,0,1,0,1,219.5,219.8,219.0,1.67,0,30.0,50.0,13.67,22.78,80.0,219.59,219.65,-0.09,-0.15,-0.041,-0.068,219.8,219.1,70.0,-0.136,0.183,1,1,0,0,0,0,-0.09,0
55,109,0.5,1,1,3,1,0,0.912,0.9105,0.9165,3.0,1,15.0,45.0,1644.74,4934.21,60.0,0.91155,0.91125,0.00045,0.00075,0.049,0.082,0.913,0.911,20.0,-0.11,0.11,1,0,0,1,0,0.0,0,1
30,109,0.28,-1,0,1,0,1,0.675,0.677,0.671,2.0,1,20.0,40.0,2962.96,5925.93,60.0,0.6756000000000001,0.676,-0.0006,-0.001,-0.089,-0.148,0.676,0.674,20.0,-0.148,0.148,1,1,0,0,0,0,-0.0,0
63,109,0.58,1,2,4,1,0,1.265,1.262,1.271,2.0,1,30.0,60.0,2371.54,4743.08,90.0,1.2641,1.2635,0.0009,0.0015,0.071,0.119,1.268,1.262,60.0,-0.237,0.238,1,0,0,1,0,0.0,0,1
48,109,0.44,1,1,2,1,0,1.174,1.172,1.178,2.0,1,20.0,40.0,1703.58,3407.16,60.0,1.1734,1.173,0.0006,0.001,0.051,0.085,1.175,1.1725,25.0,-0.085,0.128,1,0,1,0,0,0.0,0,0
40,109,0.37,1,0,2,1,0,151.5,151.0,152.0,1.0,0,50.0,50.0,33.0,33.0,100.0,151.35,151.25,0.15,0.25,0.099,0.165,152.0,151.0,100.0,-0.329,0.331,1,1,0,0,0,0.15,0,0
53,109,0.49,-1,1,3,0,1,1.094,1.096,1.09,2.0,1,20.0,40.0,1828.15,3656.31,60.0,1.0946,1.0950000000000002,-0.0006,-0.001,-0.055,-0.091,1.095,1.0935,15.0,-0.091,0.046,1,0,1,0,0,0,-0.0,1
38,109,0.35,1,0,1,1,0,1.233,1.231,1.237,2.0,1,20.0,40.0,1622.06,3244.12,60.0,1.2324000000000002,1.2320000000000002,0.0006,0.001,0.049,0.081,1.234,1.2315,25.0,-0.081,0.122,1,1,0,0,0,0.0,0,0
82,109,0.75,1,2,5,1,0,1.12,1.117,1.126,2.0,1,30.0,60.0,2678.57,5357.14,90.0,1.1191,1.1185,0.0009,0.0015,0.08,0.134,1.123,1.118,50.0,-0.267,0.179,1,0,0,0,1,0.0,0,1
50,109,0.46,-1,1,3,0,1,0.92,0.922,0.916,2.0,1,20.0,40.0,2173.91,4347.83,60.0,0.9206000000000001,0.921,-0.0006,-0.001,-0.065,-0.109,0.921,0.919,20.0,-0.109,0.109,1,0,1,0,0,0,-0.0,1
